Sample	read_type	chromosome:	number_chunks	chunking_time	aggregating_time	filtering_time	saving_raw_time	classifying_time	saving_bed_time	total_time	time_per_chunk	number_dark_regions	percent_dark_regions	node_of_execution	job_id	peak_RAM_GB	job_time	cores	window_size	filtering_depth	filtering_mapq	filtering_phred	
COLO829_SR	short	1	249	184	22673	10074	281	32.2	20458	53702.2	215.6714859	32937	8.664202685	30	11527275.hpcpbs02	205.607	16:09:00	40	1000000	10	10	7	1
COLO829_SR	short	2	243	193	20550	9863	53	5.3	2872	33536.3	138.009465	29975	1.629157483	36	11527274.hpcpbs02	202.171196	10:17:00	40	1000000	10	10	7	2
COLO829_SR	short	3	199	72	5701	3636	10	1.28	322	9742.28	48.9561809	24354	0.9642117099	11	11527273.hpcpbs02	175.904848	2:53:00	40	1000000	10	10	7	3
COLO829_SR	short	4	191	182	10889	7298	31	3.1	1392	19795.1	103.639267	25896	1.201460635	35	11527272.hpcpbs02	171.885	6:02:00	40	1000000	10	10	7	4
COLO829_SR	short	5	182	185	12574	10671	63	6.2	1979	25478.2	139.9901099	20868	2.518725268	60	11527271.hpcpbs02	130.325024	7:44:00	40	1000000	10	10	7	5
COLO829_SR	short	6	171	179	9776	6824	29	2.9	1049	17859.9	104.4438596	20916	1.229290106	38	11527270.hpcpbs02	129.016	5:27:00	40	1000000	10	10	7	6
COLO829_SR	short	7	160	68	3638	2200	15	1.9	504	6426.9	40.168125	23544	2.105797176	52	11527268.hpcpbs02	130.430548	1:53:00	40	1000000	10	10	7	7
COLO829_SR	short	8	146	69	3064	2105	9	1.3	233	5481.3	37.54315068	18898	1.468496645	51	11527267.hpcpbs02	115.963772	1:36:00	40	1000000	10	10	7	8
COLO829_SR	short	9	139	72	2847	2333	92	14.9	5975	11333.9	81.53884892	21308	14.69511947	48	11527266.hpcpbs02	112.435572	3:15:00	40	1000000	10	10	7	9
COLO829_SR	short	10	134	67	2510	1938	9	1.4	240	4765.4	35.56268657	17516	0.9719239137	50	11527265.hpcpbs02	110.466536	1:24:00	40	1000000	10	10	7	10
